msaid,year,pop,patch_bupr,patch_bupl,patch_bua,all_bupr,all_bupl,all_bua,num_nodes,num_edges,distance,k_mean,k1,k4plus,bearing,entropy,mean_local_gridness,mean_local_gridness_max
10100,1900,20202.0,690.0,644.0,117.0,960.0,897.0,310.0,1012,1598,200.28181781500476,3.2362869198312234,0.12869198312236288,0.49050632911392406,"[[0.0, 0.09392471114424152], [0.10471975511965977, 0.003354453969437197], [0.20943951023931953, 0.0007454342154304882], [0.3141592653589793, 0.002609019754006709], [0.41887902047863906, 0.0014908684308609765], [0.5235987755982988, 0.0007454342154304882], [0.6283185307179586, 0.0], [0.7330382858376183, 0.0022363026462914647], [0.8377580409572781, 0.0011181513231457323], [0.9424777960769379, 0.0022363026462914647], [1.0471975511965976, 0.003727171077152441], [1.1519173063162573, 0.0007454342154304882], [1.2566370614359172, 0.0011181513231457323], [1.361356816555577, 0.003354453969437197], [1.4660765716752366, 0.1520685799478196], [1.5707963267948966, 0.12113306000745434], [1.6755160819145563, 0.003354453969437197], [1.780235837034216, 0.0011181513231457323], [1.8849555921538759, 0.0003727171077152441], [1.9896753472735356, 0.0003727171077152441], [2.0943951023931953, 0.0], [2.199114857512855, 0.0007454342154304882], [2.3038346126325147, 0.0022363026462914647], [2.4085543677521746, 0.0], [2.5132741228718345, 0.0003727171077152441], [2.617993877991494, 0.0014908684308609765], [2.722713633111154, 0.0007454342154304882], [2.827433388230814, 0.0003727171077152441], [2.9321531433504733, 0.002609019754006709], [3.036872898470133, 0.19120387625792024], [3.141592653589793, 0.09392471114424152], [3.2463124087094526, 0.003354453969437197], [3.3510321638291125, 0.0007454342154304882], [3.4557519189487724, 0.002609019754006709], [3.560471674068432, 0.0014908684308609765], [3.665191429188092, 0.0007454342154304882], [3.7699111843077517, 0.0], [3.874630939427411, 0.0022363026462914647], [3.979350694547071, 0.0011181513231457323], [4.084070449666731, 0.0022363026462914647], [4.1887902047863905, 0.003727171077152441], [4.29350995990605, 0.0007454342154304882], [4.39822971502571, 0.0011181513231457323], [4.50294947014537, 0.003354453969437197], [4.607669225265029, 0.1520685799478196], [4.71238898038469, 0.12113306000745434], [4.817108735504349, 0.003354453969437197], [4.921828490624009, 0.0011181513231457323], [5.026548245743669, 0.0003727171077152441], [5.1312680008633285, 0.0003727171077152441], [5.235987755982988, 0.0], [5.340707511102648, 0.0007454342154304882], [5.445427266222308, 0.0022363026462914647], [5.550147021341967, 0.0], [5.654866776461628, 0.0003727171077152441], [5.759586531581287, 0.0014908684308609765], [5.864306286700947, 0.0007454342154304882], [5.969026041820607, 0.0003727171077152441], [6.073745796940266, 0.002609019754006709]]",2.306810313640896,0.3688291139240506,0.32311884669479607
10100,1910,33521.0,938.0,881.0,48.0,1254.0,1143.0,229.0,270,340,38.08097013268398,2.6392694063926943,0.3242009132420091,0.2876712328767123,"[[0.0, 0.09983079526226735], [0.10471975511965977, 0.005076142131979695], [0.20943951023931953, 0.0], [0.3141592653589793, 0.01015228426395939], [0.41887902047863906, 0.001692047377326565], [0.5235987755982988, 0.001692047377326565], [0.6283185307179586, 0.0], [0.7330382858376183, 0.0], [0.8377580409572781, 0.00338409475465313], [0.9424777960769379, 0.005076142131979695], [1.0471975511965976, 0.001692047377326565], [1.1519173063162573, 0.005076142131979695], [1.2566370614359172, 0.00338409475465313], [1.361356816555577, 0.00676818950930626], [1.4660765716752366, 0.15228426395939088], [1.5707963267948966, 0.0829103214890017], [1.6755160819145563, 0.008460236886632826], [1.780235837034216, 0.00338409475465313], [1.8849555921538759, 0.0], [1.9896753472735356, 0.0], [2.0943951023931953, 0.00338409475465313], [2.199114857512855, 0.005076142131979695], [2.3038346126325147, 0.001692047377326565], [2.4085543677521746, 0.00676818950930626], [2.5132741228718345, 0.00676818950930626], [2.617993877991494, 0.00338409475465313], [2.722713633111154, 0.0], [2.827433388230814, 0.00338409475465313], [2.9321531433504733, 0.005076142131979695], [3.036872898470133, 0.14890016920473773], [3.141592653589793, 0.09813874788494077], [3.2463124087094526, 0.005076142131979695], [3.3510321638291125, 0.0], [3.4557519189487724, 0.01015228426395939], [3.560471674068432, 0.001692047377326565], [3.665191429188092, 0.001692047377326565], [3.7699111843077517, 0.0], [3.874630939427411, 0.0], [3.979350694547071, 0.00338409475465313], [4.084070449666731, 0.005076142131979695], [4.1887902047863905, 0.001692047377326565], [4.29350995990605, 0.005076142131979695], [4.39822971502571, 0.00338409475465313], [4.50294947014537, 0.00676818950930626], [4.607669225265029, 0.15228426395939088], [4.71238898038469, 0.0829103214890017], [4.817108735504349, 0.008460236886632826], [4.921828490624009, 0.00338409475465313], [5.026548245743669, 0.0], [5.1312680008633285, 0.0], [5.235987755982988, 0.00338409475465313], [5.340707511102648, 0.005076142131979695], [5.445427266222308, 0.001692047377326565], [5.550147021341967, 0.00676818950930626], [5.654866776461628, 0.00676818950930626], [5.759586531581287, 0.00338409475465313], [5.864306286700947, 0.0], [5.969026041820607, 0.00338409475465313], [6.073745796940266, 0.005076142131979695]]",2.689919855365594,0.2762557077625571,0.23515981735159816
10100,1920,37845.0,936.0,885.0,60.0,1173.0,1104.0,206.0,286,384,48.565448430578186,2.774703557312253,0.26877470355731226,0.308300395256917,"[[0.0, 0.11244377811094453], [0.10471975511965977, 0.0029985007496251873], [0.20943951023931953, 0.0029985007496251873], [0.3141592653589793, 0.0], [0.41887902047863906, 0.0], [0.5235987755982988, 0.0], [0.6283185307179586, 0.0014992503748125937], [0.7330382858376183, 0.0014992503748125937], [0.8377580409572781, 0.0014992503748125937], [0.9424777960769379, 0.0], [1.0471975511965976, 0.0], [1.1519173063162573, 0.0029985007496251873], [1.2566370614359172, 0.005997001499250375], [1.361356816555577, 0.0029985007496251873], [1.4660765716752366, 0.11244377811094453], [1.5707963267948966, 0.136431784107946], [1.6755160819145563, 0.0029985007496251873], [1.780235837034216, 0.005997001499250375], [1.8849555921538759, 0.0029985007496251873], [1.9896753472735356, 0.0014992503748125937], [2.0943951023931953, 0.0], [2.199114857512855, 0.0014992503748125937], [2.3038346126325147, 0.005997001499250375], [2.4085543677521746, 0.0014992503748125937], [2.5132741228718345, 0.0], [2.617993877991494, 0.0014992503748125937], [2.722713633111154, 0.0029985007496251873], [2.827433388230814, 0.0014992503748125937], [2.9321531433504733, 0.014992503748125937], [3.036872898470133, 0.14842578710644677], [3.141592653589793, 0.10944527736131934], [3.2463124087094526, 0.0029985007496251873], [3.3510321638291125, 0.0029985007496251873], [3.4557519189487724, 0.0], [3.560471674068432, 0.0], [3.665191429188092, 0.0], [3.7699111843077517, 0.0014992503748125937], [3.874630939427411, 0.0014992503748125937], [3.979350694547071, 0.0014992503748125937], [4.084070449666731, 0.0], [4.1887902047863905, 0.0], [4.29350995990605, 0.0029985007496251873], [4.39822971502571, 0.005997001499250375], [4.50294947014537, 0.0029985007496251873], [4.607669225265029, 0.11244377811094453], [4.71238898038469, 0.136431784107946], [4.817108735504349, 0.0029985007496251873], [4.921828490624009, 0.005997001499250375], [5.026548245743669, 0.0029985007496251873], [5.1312680008633285, 0.0014992503748125937], [5.235987755982988, 0.0], [5.340707511102648, 0.0014992503748125937], [5.445427266222308, 0.005997001499250375], [5.550147021341967, 0.0014992503748125937], [5.654866776461628, 0.0], [5.759586531581287, 0.0014992503748125937], [5.864306286700947, 0.0029985007496251873], [5.969026041820607, 0.0014992503748125937], [6.073745796940266, 0.014992503748125937]]",2.5158896745792965,0.27154150197628457,0.2274044795783926
10100,1930,40170.0,548.0,523.0,20.0,662.0,635.0,84.0,176,229,34.423557786316955,2.736111111111111,0.2847222222222222,0.3055555555555556,"[[0.0, 0.09302325581395349], [0.10471975511965977, 0.002583979328165375], [0.20943951023931953, 0.0], [0.3141592653589793, 0.0], [0.41887902047863906, 0.0], [0.5235987755982988, 0.0], [0.6283185307179586, 0.0], [0.7330382858376183, 0.0], [0.8377580409572781, 0.0], [0.9424777960769379, 0.0], [1.0471975511965976, 0.0], [1.1519173063162573, 0.0], [1.2566370614359172, 0.0], [1.361356816555577, 0.0103359173126615], [1.4660765716752366, 0.12144702842377261], [1.5707963267948966, 0.12661498708010335], [1.6755160819145563, 0.0103359173126615], [1.780235837034216, 0.00516795865633075], [1.8849555921538759, 0.00516795865633075], [1.9896753472735356, 0.002583979328165375], [2.0943951023931953, 0.0], [2.199114857512855, 0.0], [2.3038346126325147, 0.0], [2.4085543677521746, 0.002583979328165375], [2.5132741228718345, 0.007751937984496124], [2.617993877991494, 0.0], [2.722713633111154, 0.002583979328165375], [2.827433388230814, 0.002583979328165375], [2.9321531433504733, 0.015503875968992248], [3.036872898470133, 0.1834625322997416], [3.141592653589793, 0.09302325581395349], [3.2463124087094526, 0.002583979328165375], [3.3510321638291125, 0.0], [3.4557519189487724, 0.0], [3.560471674068432, 0.0], [3.665191429188092, 0.0], [3.7699111843077517, 0.0], [3.874630939427411, 0.0], [3.979350694547071, 0.0], [4.084070449666731, 0.0], [4.1887902047863905, 0.0], [4.29350995990605, 0.0], [4.39822971502571, 0.0], [4.50294947014537, 0.0103359173126615], [4.607669225265029, 0.12144702842377261], [4.71238898038469, 0.12661498708010335], [4.817108735504349, 0.0103359173126615], [4.921828490624009, 0.00516795865633075], [5.026548245743669, 0.00516795865633075], [5.1312680008633285, 0.002583979328165375], [5.235987755982988, 0.0], [5.340707511102648, 0.0], [5.445427266222308, 0.0], [5.550147021341967, 0.002583979328165375], [5.654866776461628, 0.007751937984496124], [5.759586531581287, 0.0], [5.864306286700947, 0.002583979328165375], [5.969026041820607, 0.002583979328165375], [6.073745796940266, 0.015503875968992248]]",2.444743625330806,0.3159722222222222,0.25925925925925924
10100,1940,37490.0,276.0,270.0,28.0,269.0,263.0,36.0,174,255,32.054545023360966,3.018867924528302,0.18238993710691823,0.3836477987421384,"[[0.0, 0.11136363636363636], [0.10471975511965977, 0.0022727272727272726], [0.20943951023931953, 0.0], [0.3141592653589793, 0.0], [0.41887902047863906, 0.0], [0.5235987755982988, 0.0022727272727272726], [0.6283185307179586, 0.0], [0.7330382858376183, 0.0], [0.8377580409572781, 0.0], [0.9424777960769379, 0.0], [1.0471975511965976, 0.0], [1.1519173063162573, 0.0], [1.2566370614359172, 0.004545454545454545], [1.361356816555577, 0.0], [1.4660765716752366, 0.12727272727272726], [1.5707963267948966, 0.1340909090909091], [1.6755160819145563, 0.0022727272727272726], [1.780235837034216, 0.0], [1.8849555921538759, 0.0], [1.9896753472735356, 0.0], [2.0943951023931953, 0.0], [2.199114857512855, 0.0022727272727272726], [2.3038346126325147, 0.006818181818181818], [2.4085543677521746, 0.0022727272727272726], [2.5132741228718345, 0.0], [2.617993877991494, 0.0022727272727272726], [2.722713633111154, 0.0022727272727272726], [2.827433388230814, 0.0022727272727272726], [2.9321531433504733, 0.022727272727272728], [3.036872898470133, 0.15454545454545454], [3.141592653589793, 0.10681818181818181], [3.2463124087094526, 0.0022727272727272726], [3.3510321638291125, 0.0], [3.4557519189487724, 0.0], [3.560471674068432, 0.0], [3.665191429188092, 0.0022727272727272726], [3.7699111843077517, 0.0], [3.874630939427411, 0.0], [3.979350694547071, 0.0], [4.084070449666731, 0.0], [4.1887902047863905, 0.0], [4.29350995990605, 0.0], [4.39822971502571, 0.004545454545454545], [4.50294947014537, 0.0], [4.607669225265029, 0.12727272727272726], [4.71238898038469, 0.1340909090909091], [4.817108735504349, 0.0022727272727272726], [4.921828490624009, 0.0], [5.026548245743669, 0.0], [5.1312680008633285, 0.0], [5.235987755982988, 0.0], [5.340707511102648, 0.0022727272727272726], [5.445427266222308, 0.006818181818181818], [5.550147021341967, 0.0022727272727272726], [5.654866776461628, 0.0], [5.759586531581287, 0.0022727272727272726], [5.864306286700947, 0.0022727272727272726], [5.969026041820607, 0.0022727272727272726], [6.073745796940266, 0.022727272727272728]]",2.34589420896433,0.3663522012578616,0.30765199161425577
10100,1950,39892.0,627.0,594.0,15.0,734.0,696.0,68.0,18,15,1.2862400837578167,1.6,0.7333333333333333,0.06666666666666667,"[[0.0, 0.041666666666666664], [0.10471975511965977, 0.0], [0.20943951023931953, 0.0], [0.3141592653589793, 0.0], [0.41887902047863906, 0.0], [0.5235987755982988, 0.0], [0.6283185307179586, 0.0], [0.7330382858376183, 0.0], [0.8377580409572781, 0.0], [0.9424777960769379, 0.0], [1.0471975511965976, 0.0], [1.1519173063162573, 0.0], [1.2566370614359172, 0.041666666666666664], [1.361356816555577, 0.0], [1.4660765716752366, 0.125], [1.5707963267948966, 0.125], [1.6755160819145563, 0.0], [1.780235837034216, 0.0], [1.8849555921538759, 0.0], [1.9896753472735356, 0.0], [2.0943951023931953, 0.0], [2.199114857512855, 0.0], [2.3038346126325147, 0.0], [2.4085543677521746, 0.0], [2.5132741228718345, 0.0], [2.617993877991494, 0.041666666666666664], [2.722713633111154, 0.0], [2.827433388230814, 0.0], [2.9321531433504733, 0.0], [3.036872898470133, 0.25], [3.141592653589793, 0.041666666666666664], [3.2463124087094526, 0.0], [3.3510321638291125, 0.0], [3.4557519189487724, 0.0], [3.560471674068432, 0.0], [3.665191429188092, 0.0], [3.7699111843077517, 0.0], [3.874630939427411, 0.0], [3.979350694547071, 0.0], [4.084070449666731, 0.0], [4.1887902047863905, 0.0], [4.29350995990605, 0.0], [4.39822971502571, 0.041666666666666664], [4.50294947014537, 0.0], [4.607669225265029, 0.125], [4.71238898038469, 0.125], [4.817108735504349, 0.0], [4.921828490624009, 0.0], [5.026548245743669, 0.0], [5.1312680008633285, 0.0], [5.235987755982988, 0.0], [5.340707511102648, 0.0], [5.445427266222308, 0.0], [5.550147021341967, 0.0], [5.654866776461628, 0.0], [5.759586531581287, 0.041666666666666664], [5.864306286700947, 0.0], [5.969026041820607, 0.0], [6.073745796940266, 0.0]]",2.1808078187068767,0.05,0.03888888888888888
10100,1960,40185.0,1094.0,1016.0,57.0,1154.0,1072.0,115.0,141,180,23.981136525895607,2.624,0.336,0.296,"[[0.0, 0.11182108626198083], [0.10471975511965977, 0.009584664536741214], [0.20943951023931953, 0.006389776357827476], [0.3141592653589793, 0.003194888178913738], [0.41887902047863906, 0.0], [0.5235987755982988, 0.003194888178913738], [0.6283185307179586, 0.0], [0.7330382858376183, 0.003194888178913738], [0.8377580409572781, 0.0], [0.9424777960769379, 0.0], [1.0471975511965976, 0.0], [1.1519173063162573, 0.0], [1.2566370614359172, 0.006389776357827476], [1.361356816555577, 0.003194888178913738], [1.4660765716752366, 0.14696485623003194], [1.5707963267948966, 0.08626198083067092], [1.6755160819145563, 0.006389776357827476], [1.780235837034216, 0.012779552715654952], [1.8849555921538759, 0.006389776357827476], [1.9896753472735356, 0.0], [2.0943951023931953, 0.003194888178913738], [2.199114857512855, 0.003194888178913738], [2.3038346126325147, 0.006389776357827476], [2.4085543677521746, 0.0], [2.5132741228718345, 0.003194888178913738], [2.617993877991494, 0.003194888178913738], [2.722713633111154, 0.0], [2.827433388230814, 0.0], [2.9321531433504733, 0.003194888178913738], [3.036872898470133, 0.14696485623003194], [3.141592653589793, 0.10862619808306709], [3.2463124087094526, 0.009584664536741214], [3.3510321638291125, 0.006389776357827476], [3.4557519189487724, 0.003194888178913738], [3.560471674068432, 0.0], [3.665191429188092, 0.003194888178913738], [3.7699111843077517, 0.0], [3.874630939427411, 0.003194888178913738], [3.979350694547071, 0.0], [4.084070449666731, 0.0], [4.1887902047863905, 0.0], [4.29350995990605, 0.0], [4.39822971502571, 0.006389776357827476], [4.50294947014537, 0.003194888178913738], [4.607669225265029, 0.14696485623003194], [4.71238898038469, 0.08626198083067092], [4.817108735504349, 0.006389776357827476], [4.921828490624009, 0.012779552715654952], [5.026548245743669, 0.006389776357827476], [5.1312680008633285, 0.0], [5.235987755982988, 0.003194888178913738], [5.340707511102648, 0.003194888178913738], [5.445427266222308, 0.006389776357827476], [5.550147021341967, 0.0], [5.654866776461628, 0.003194888178913738], [5.759586531581287, 0.003194888178913738], [5.864306286700947, 0.0], [5.969026041820607, 0.0], [6.073745796940266, 0.003194888178913738]]",2.6081644822303303,0.288,0.24133333333333332
10100,1970,42468.0,1225.0,1156.0,91.0,1416.0,1336.0,169.0,119,136,30.94265170658121,2.3434343434343434,0.3838383838383838,0.1111111111111111,"[[0.0, 0.03755868544600939], [0.10471975511965977, 0.0], [0.20943951023931953, 0.004694835680751174], [0.3141592653589793, 0.0], [0.41887902047863906, 0.009389671361502348], [0.5235987755982988, 0.009389671361502348], [0.6283185307179586, 0.0], [0.7330382858376183, 0.004694835680751174], [0.8377580409572781, 0.0], [0.9424777960769379, 0.004694835680751174], [1.0471975511965976, 0.0], [1.1519173063162573, 0.0], [1.2566370614359172, 0.0], [1.361356816555577, 0.0], [1.4660765716752366, 0.1643192488262911], [1.5707963267948966, 0.10328638497652583], [1.6755160819145563, 0.014084507042253521], [1.780235837034216, 0.0], [1.8849555921538759, 0.004694835680751174], [1.9896753472735356, 0.0], [2.0943951023931953, 0.0], [2.199114857512855, 0.0], [2.3038346126325147, 0.0], [2.4085543677521746, 0.0], [2.5132741228718345, 0.004694835680751174], [2.617993877991494, 0.004694835680751174], [2.722713633111154, 0.0], [2.827433388230814, 0.0], [2.9321531433504733, 0.0], [3.036872898470133, 0.27230046948356806], [3.141592653589793, 0.03286384976525822], [3.2463124087094526, 0.0], [3.3510321638291125, 0.004694835680751174], [3.4557519189487724, 0.0], [3.560471674068432, 0.009389671361502348], [3.665191429188092, 0.009389671361502348], [3.7699111843077517, 0.0], [3.874630939427411, 0.004694835680751174], [3.979350694547071, 0.0], [4.084070449666731, 0.004694835680751174], [4.1887902047863905, 0.0], [4.29350995990605, 0.0], [4.39822971502571, 0.0], [4.50294947014537, 0.0], [4.607669225265029, 0.1643192488262911], [4.71238898038469, 0.10328638497652583], [4.817108735504349, 0.014084507042253521], [4.921828490624009, 0.0], [5.026548245743669, 0.004694835680751174], [5.1312680008633285, 0.0], [5.235987755982988, 0.0], [5.340707511102648, 0.0], [5.445427266222308, 0.0], [5.550147021341967, 0.0], [5.654866776461628, 0.004694835680751174], [5.759586531581287, 0.004694835680751174], [5.864306286700947, 0.0], [5.969026041820607, 0.0], [6.073745796940266, 0.0]]",2.249650468915851,0.17929292929292928,0.13047138047138046
10100,1980,42121.0,1596.0,1485.0,250.0,1754.0,1627.0,313.0,221,232,94.05130411106163,2.1301775147928996,0.46153846153846156,0.05325443786982249,"[[0.0, 0.04871794871794872], [0.10471975511965977, 0.007692307692307693], [0.20943951023931953, 0.007692307692307693], [0.3141592653589793, 0.005128205128205128], [0.41887902047863906, 0.0], [0.5235987755982988, 0.005128205128205128], [0.6283185307179586, 0.005128205128205128], [0.7330382858376183, 0.0], [0.8377580409572781, 0.002564102564102564], [0.9424777960769379, 0.0], [1.0471975511965976, 0.0], [1.1519173063162573, 0.010256410256410256], [1.2566370614359172, 0.015384615384615385], [1.361356816555577, 0.010256410256410256], [1.4660765716752366, 0.1358974358974359], [1.5707963267948966, 0.06923076923076923], [1.6755160819145563, 0.005128205128205128], [1.780235837034216, 0.007692307692307693], [1.8849555921538759, 0.007692307692307693], [1.9896753472735356, 0.002564102564102564], [2.0943951023931953, 0.007692307692307693], [2.199114857512855, 0.005128205128205128], [2.3038346126325147, 0.01282051282051282], [2.4085543677521746, 0.007692307692307693], [2.5132741228718345, 0.002564102564102564], [2.617993877991494, 0.007692307692307693], [2.722713633111154, 0.005128205128205128], [2.827433388230814, 0.007692307692307693], [2.9321531433504733, 0.010256410256410256], [3.036872898470133, 0.18205128205128204], [3.141592653589793, 0.041025641025641026], [3.2463124087094526, 0.007692307692307693], [3.3510321638291125, 0.007692307692307693], [3.4557519189487724, 0.005128205128205128], [3.560471674068432, 0.0], [3.665191429188092, 0.005128205128205128], [3.7699111843077517, 0.005128205128205128], [3.874630939427411, 0.0], [3.979350694547071, 0.002564102564102564], [4.084070449666731, 0.0], [4.1887902047863905, 0.0], [4.29350995990605, 0.010256410256410256], [4.39822971502571, 0.015384615384615385], [4.50294947014537, 0.010256410256410256], [4.607669225265029, 0.1358974358974359], [4.71238898038469, 0.06923076923076923], [4.817108735504349, 0.005128205128205128], [4.921828490624009, 0.007692307692307693], [5.026548245743669, 0.007692307692307693], [5.1312680008633285, 0.002564102564102564], [5.235987755982988, 0.007692307692307693], [5.340707511102648, 0.005128205128205128], [5.445427266222308, 0.01282051282051282], [5.550147021341967, 0.007692307692307693], [5.654866776461628, 0.002564102564102564], [5.759586531581287, 0.007692307692307693], [5.864306286700947, 0.005128205128205128], [5.969026041820607, 0.007692307692307693], [6.073745796940266, 0.010256410256410256]]",3.037896368246374,0.04585798816568047,0.03106508875739645
10100,1990,39936.0,470.0,390.0,56.0,507.0,422.0,68.0,70,76,33.41698715576633,2.2264150943396226,0.41509433962264153,0.05660377358490566,"[[0.0, 0.051470588235294115], [0.10471975511965977, 0.022058823529411766], [0.20943951023931953, 0.0], [0.3141592653589793, 0.007352941176470588], [0.41887902047863906, 0.0], [0.5235987755982988, 0.014705882352941176], [0.6283185307179586, 0.007352941176470588], [0.7330382858376183, 0.007352941176470588], [0.8377580409572781, 0.0], [0.9424777960769379, 0.022058823529411766], [1.0471975511965976, 0.007352941176470588], [1.1519173063162573, 0.0], [1.2566370614359172, 0.014705882352941176], [1.361356816555577, 0.022058823529411766], [1.4660765716752366, 0.04411764705882353], [1.5707963267948966, 0.1323529411764706], [1.6755160819145563, 0.0], [1.780235837034216, 0.014705882352941176], [1.8849555921538759, 0.007352941176470588], [1.9896753472735356, 0.0], [2.0943951023931953, 0.0], [2.199114857512855, 0.0], [2.3038346126325147, 0.0], [2.4085543677521746, 0.007352941176470588], [2.5132741228718345, 0.007352941176470588], [2.617993877991494, 0.007352941176470588], [2.722713633111154, 0.022058823529411766], [2.827433388230814, 0.014705882352941176], [2.9321531433504733, 0.014705882352941176], [3.036872898470133, 0.11029411764705882], [3.141592653589793, 0.04411764705882353], [3.2463124087094526, 0.022058823529411766], [3.3510321638291125, 0.0], [3.4557519189487724, 0.007352941176470588], [3.560471674068432, 0.0], [3.665191429188092, 0.014705882352941176], [3.7699111843077517, 0.007352941176470588], [3.874630939427411, 0.007352941176470588], [3.979350694547071, 0.0], [4.084070449666731, 0.022058823529411766], [4.1887902047863905, 0.007352941176470588], [4.29350995990605, 0.0], [4.39822971502571, 0.014705882352941176], [4.50294947014537, 0.022058823529411766], [4.607669225265029, 0.04411764705882353], [4.71238898038469, 0.1323529411764706], [4.817108735504349, 0.0], [4.921828490624009, 0.014705882352941176], [5.026548245743669, 0.007352941176470588], [5.1312680008633285, 0.0], [5.235987755982988, 0.0], [5.340707511102648, 0.0], [5.445427266222308, 0.0], [5.550147021341967, 0.007352941176470588], [5.654866776461628, 0.007352941176470588], [5.759586531581287, 0.007352941176470588], [5.864306286700947, 0.022058823529411766], [5.969026041820607, 0.014705882352941176], [6.073745796940266, 0.014705882352941176]]",3.215766530371928,0.08962264150943396,0.06446540880503143
